	Game_id	Person_id	PSc	PAg	Possessions	ORTG	DRTG
0	006728e4c10e957011e1f24878e6054a	ae53f8ba6761b64a174051da817785bc	12	16	18	0.6666666666666666	0.8888888888888888
1	006728e4c10e957011e1f24878e6054a	44230324724c84f122ac62a5f0918314	38	32	55	0.6909090909090909	0.5818181818181818
2	006728e4c10e957011e1f24878e6054a	8d2127290c94bd41b82a2938734bc750	64	72	92	0.6956521739130435	0.782608695652174
3	006728e4c10e957011e1f24878e6054a	48ec4e6c52f418d5ca4ef510ba473ea0	64	63	86	0.7441860465116279	0.7325581395348837
4	006728e4c10e957011e1f24878e6054a	e816ff284dc3f965b8f3d605a3b91bae	0	0	0		
5	006728e4c10e957011e1f24878e6054a	ed95dff5440fadf3042b5acacea81eed	0	0	0		
6	006728e4c10e957011e1f24878e6054a	616281dee946056b071699476fdee9ec	46	51	63	0.7301587301587301	0.8095238095238095
7	006728e4c10e957011e1f24878e6054a	e814950408915f43de2b079dce7c21c5	66	72	95	0.6947368421052632	0.7578947368421053
8	006728e4c10e957011e1f24878e6054a	2ad626904c8b28cceb8e12c624a84240	31	43	55	0.5636363636363636	0.7818181818181819
9	006728e4c10e957011e1f24878e6054a	bd45fe7dba52aa2cd00ba80ff107d05b	0	0	0		
10	006728e4c10e957011e1f24878e6054a	766802a8fda500d7945950de7398c9c6	79	83	113	0.6991150442477876	0.7345132743362832
11	006728e4c10e957011e1f24878e6054a	99104de2626f67c1fa2ce70504970c3f	63	58	86	0.7325581395348837	0.6744186046511628
12	006728e4c10e957011e1f24878e6054a	42e0d7167f04a4ff958c6442da0e6851	78	78	111	0.7027027027027027	0.7027027027027027
13	006728e4c10e957011e1f24878e6054a	c5dd5b2e3b975f0849d9b74e74125cb9	83	94	125	0.664	0.752
14	006728e4c10e957011e1f24878e6054a	5db9c1c8184510fee8161e7fafdc9c49	27	35	46	0.5869565217391305	0.7608695652173914
15	006728e4c10e957011e1f24878e6054a	f4a5ca938177c407a9dab5412e39498f	26	32	42	0.6190476190476191	0.7619047619047619
16	006728e4c10e957011e1f24878e6054a	1b37fed4823f31ccbf03515f4b9fe438	0	0	0		
17	006728e4c10e957011e1f24878e6054a	c10b49616a2f4a23607dc1a8be4fde9f	0	0	0		
18	006728e4c10e957011e1f24878e6054a	d00d552bc4e50f63f9397a74514519ba	0	0	0		
19	006728e4c10e957011e1f24878e6054a	dd1da128c27db468d95b99b583f8a57d	0	0	0		
20	006728e4c10e957011e1f24878e6054a	4ef3dae16c436459ff05156abca5cebd	52	40	69	0.7536231884057971	0.5797101449275363
21	006728e4c10e957011e1f24878e6054a	618f6d58ab2881152607c2a6e057bc51	60	57	78	0.7692307692307693	0.7307692307692307
22	006728e4c10e957011e1f24878e6054a	902362537ff2a39c0c0cfb82ab0adac2	0	0	0		
23	006728e4c10e957011e1f24878e6054a	e59b921ab3da55f632bc748beb12805a	0	0	0		
24	006728e4c10e957011e1f24878e6054a	4413c19cf092bda39332d7833c90bfe6	39	34	50	0.78	0.68
25	006728e4c10e957011e1f24878e6054a	bf6ed471f8425903310f08548a206905	0	0	0		
26	006728e4c10e957011e1f24878e6054a	5cce6ffa455e6372d9de0de400482ab6	50	32	60	0.8333333333333334	0.5333333333333333
27	006728e4c10e957011e1f24878e6054a	4dd3d6a51dc97c651d3a86eec4362a1f	46	35	58	0.7931034482758621	0.603448275862069
28	006728e4c10e957011e1f24878e6054a	7027df5d9c51192f3527ac8c74b4d08d	0	0	0		
29	006728e4c10e957011e1f24878e6054a	d81d912f81fa43178f423aa89a713e96	46	43	58	0.7931034482758621	0.7413793103448276
70	03ac65b9a32fde1e201bfb427f6e41e4	255fe2a8be0ed5c06dd99969ab4fea55	38	33	39	0.9743589743589743	0.8461538461538461
71	03ac65b9a32fde1e201bfb427f6e41e4	94e99d76e87ee926faab66d382b3a955	0	0	0		
72	03ac65b9a32fde1e201bfb427f6e41e4	ad1c818605d80c2d6aeabf60426e94a9	0	0	0		
73	03ac65b9a32fde1e201bfb427f6e41e4	52c6125836c465f4ac5232121dacb49d	44	40	48	0.9166666666666666	0.8333333333333334
74	03ac65b9a32fde1e201bfb427f6e41e4	ff59dc439c6c323320bc355afe884fcb	77	76	115	0.6695652173913044	0.6608695652173913
75	03ac65b9a32fde1e201bfb427f6e41e4	7dfbb5980c066844384ba7424aceae47	92	90	128	0.71875	0.703125
76	03ac65b9a32fde1e201bfb427f6e41e4	3626b893fc73a5cbd67d1ea48a5c7039	99	103	144	0.6875	0.7152777777777778
77	03ac65b9a32fde1e201bfb427f6e41e4	0b978fcfa7f2ec839c563a755e345ff8	18	27	30	0.6	0.9
78	03ac65b9a32fde1e201bfb427f6e41e4	bfef77a3e57907855444410d490e7bfd	0	0	0		
79	03ac65b9a32fde1e201bfb427f6e41e4	7ad61d685fab533836df6c4605db1ac2	0	0	0		
80	03ac65b9a32fde1e201bfb427f6e41e4	1a6703883f8f47bb4daf09c03be3bda2	90	66	110	0.8181818181818182	0.6
81	03ac65b9a32fde1e201bfb427f6e41e4	ff52c317e26534ae1679da3c917e9fec	116	117	159	0.7295597484276729	0.7358490566037735
82	03ac65b9a32fde1e201bfb427f6e41e4	25b9943b95a816346c06eae76c78a593	0	0	0		
83	03ac65b9a32fde1e201bfb427f6e41e4	ef232aca3c330ff4f84215374638d026	0	0	0		
84	03ac65b9a32fde1e201bfb427f6e41e4	31598ba01a3fff03ed0a87d7dea11dfe	87	92	119	0.7310924369747899	0.773109243697479
85	03ac65b9a32fde1e201bfb427f6e41e4	11beb0ae23e6425510297a31fa21881e	87	94	128	0.6796875	0.734375
86	03ac65b9a32fde1e201bfb427f6e41e4	1177a5cdd245dc40c6c39bac4df89ce3	0	0	0		
87	03ac65b9a32fde1e201bfb427f6e41e4	6ad10958a1d4920dccb1daec39bebd6b	80	80	121	0.6611570247933884	0.6611570247933884
88	03ac65b9a32fde1e201bfb427f6e41e4	83c15c0962941640faab838a8f6f151d	101	99	144	0.7013888888888888	0.6875
89	03ac65b9a32fde1e201bfb427f6e41e4	a1591595c04d12e88e3cb427fb667618	98	92	134	0.7313432835820896	0.6865671641791045
90	03ac65b9a32fde1e201bfb427f6e41e4	a3bac86ad549b2f128a62399d73d6299	49	59	65	0.7538461538461538	0.9076923076923077
91	03ac65b9a32fde1e201bfb427f6e41e4	41c0674725d4cddab004649e9db5a3ce	24	30	34	0.7058823529411765	0.8823529411764706
92	03ac65b9a32fde1e201bfb427f6e41e4	90ba0d1de241290df2e124a5e02d68ef	17	20	17	1.0	1.1764705882352942
93	03ac65b9a32fde1e201bfb427f6e41e4	6f6a807d57aae8f651222523dc82dc35	54	51	76	0.7105263157894737	0.6710526315789473
94	03ac65b9a32fde1e201bfb427f6e41e4	fbcda0bcb861e4726ca8871b8965ede4	0	0	0		
95	03ac65b9a32fde1e201bfb427f6e41e4	14de632b07100527b0ced12fd4eeffb7	0	0	0		
96	03ac65b9a32fde1e201bfb427f6e41e4	1f568a2342e4c375873d49a15e2d4448	14	16	19	0.7368421052631579	0.8421052631578947
97	03ac65b9a32fde1e201bfb427f6e41e4	821887f9a002be16b5f79729fae59e01	0	0	0		
98	03ac65b9a32fde1e201bfb427f6e41e4	3d75035d20b173a867d4bf32c8a58f0b	0	0	0		
99	03ac65b9a32fde1e201bfb427f6e41e4	31f28da997f1ed51f0f688b9d004b269	0	0	0		
140	096e231adad0be6ab1cc89cce56847f8	ae53f8ba6761b64a174051da817785bc	35	27	42	0.8333333333333334	0.6428571428571429
141	096e231adad0be6ab1cc89cce56847f8	44230324724c84f122ac62a5f0918314	37	58	74	0.5	0.7837837837837838
142	096e231adad0be6ab1cc89cce56847f8	8d2127290c94bd41b82a2938734bc750	66	57	83	0.7951807228915663	0.6867469879518072
